item_id,item_url,brand_name,item_price,item_tikinow,item_discount_rate,item_rating_average,item_review_count,item_quantity
99295070,he-thong-wifi-nova-mesh-cho-gia-dinh-tenda-mw3-chuan-ac-1200mbps-3-pack-hang-chinh-hang-p99295070.html?spid=99295073,Tenda,1699000,true,15,4.7,33,13
417018,card-mang-tp-link-tl-wn781nd-hang-chinh-hang-p417018.html?spid=120230,TP-Link,190000,false,5,4.5,78,5
10706084,o-cung-di-dong-wd-my-passport-ultra-1tb-hang-chinh-hang-p10706084.html?spid=10706086,WD,1940000,false,4,4.6,104,11
447634,usb-sandisk-3-0-ultra-cz48-32gb-hang-chinh-hang-p447634.html?spid=687100,SanDisk,131000,true,0,4.3,30,2
14380739,hop-muc-samsung-mltd101-samsung-ml-2160-2161-2164-2165-2165w-scx-3401-3450fw-3406-hang-nhap-khau-p14380739.html?spid=31256680,KOMAXI,223000,true,0,5,3,18
48116252,vo-case-may-tinh-mini-vsp-2873-hang-chinh-hang-p48116252.html?spid=48116253,VSP,250000,false,0,4.3,33,0
41446843,bo-dung-cu-thi-cong-mang-kim-mang-bo-test-mang-100-hat-mang-rj45-p41446843.html?spid=49589773,OEM,176000,true,7,0,0,7
137452864,o-cung-silicon-power-ssd-m-2-2280-sata-iii-hang-chinh-hang-p137452864.html?spid=137452868,Silicon Power,699000,false,18,5,6,0
68250770,den-ban-treo-man-hinh-may-tinh-baseus-3-che-do-sang-tang-giam-cuong-do-anh-sang-chong-moi-mat-va-bao-ve-mat-khoi-anh-sang-xanh-hang-nhap-khau-p68250770.html?spid=135499324,Baseus,382499,false,0,4.6,12,0
13957952,quat-tan-nhiet-33-bong-den-led-12cm-lam-mat-cho-case-may-tinh-p13957952.html?spid=58991277,OEM,43900,true,0,4.5,51,8
56658471,bo-phat-wifi-4g-huawei-e5576-hang-chinh-hang-p56658471.html?spid=58169382,Huawei,948000,true,0,5,6,4
86297296,de-gia-do-quat-tan-hut-nhiet-laptop-may-tinh-ben-tot-quat-tan-nhiet-to-chay-em-lam-mat-cuc-nhanh-p86297296.html?spid=86297300,OEM,189000,false,0,4.7,29,0
56097175,khay-dung-o-cung-caddy-bay-9-5mm-sieu-mong-p56097175.html?spid=71574063,ATA,55000,true,0,4.8,62,19
10697849,totolink-n150ua-usb-wi-fi-chuan-n-150mbps-hang-chinh-hang-p10697849.html?spid=10704951,TOTOLINK,179000,true,0,4.5,51,10
150672784,hop-muc-dung-cho-may-in-hp-107a-107w-135a-135w-137a-137w-ma-muc-w1107a-p150672784.html?spid=161944316,OEM,371900,true,0,1,1,8
